"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP04_0001E","Estimate!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0001M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units"
"DP04_0002E","Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units"
"DP04_0002M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units"
"DP04_0003E","Estimate!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units"
"DP04_0003M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units"
"DP04_0004E","Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate"
"DP04_0004M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate"
"DP04_0005E","Estimate!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate"
"DP04_0005M","Margin of Error!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate"
"DP04_0006E","Estimate!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0006M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units"
"DP04_0007E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached"
"DP04_0007M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached"
"DP04_0008E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached"
"DP04_0008M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached"
"DP04_0009E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!2 units"
"DP04_0009M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!2 units"
"DP04_0010E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units"
"DP04_0010M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units"
"DP04_0011E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units"
"DP04_0011M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units"
"DP04_0012E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units"
"DP04_0012M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units"
"DP04_0013E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!20 or more units"
"DP04_0013M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!20 or more units"
"DP04_0014E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!Mobile home"
"DP04_0014M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!Mobile home"
"DP04_0015E","Estimate!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc."
"DP04_0015M","Margin of Error!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc."
"DP04_0016E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units"
"DP04_0016M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units"
"DP04_0017E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later"
"DP04_0017M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later"
"DP04_0018E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013"
"DP04_0018M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013"
"DP04_0019E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009"
"DP04_0019M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009"
"DP04_0020E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999"
"DP04_0020M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999"
"DP04_0021E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989"
"DP04_0021M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989"
"DP04_0022E","Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979"
"DP04_0022M","Margin of Error!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979"
