"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1201_C01_001E","Total!!Estimate!!Population 15 years and over"
"S1201_C01_001M","Total!!Margin of Error!!Population 15 years and over"
"S1201_C02_001E","Now married (except separated)!!Estimate!!Population 15 years and over"
"S1201_C02_001M","Now married (except separated)!!Margin of Error!!Population 15 years and over"
"S1201_C03_001E","Widowed!!Estimate!!Population 15 years and over"
"S1201_C03_001M","Widowed!!Margin of Error!!Population 15 years and over"
"S1201_C04_001E","Divorced!!Estimate!!Population 15 years and over"
"S1201_C04_001M","Divorced!!Margin of Error!!Population 15 years and over"
"S1201_C05_001E","Separated!!Estimate!!Population 15 years and over"
"S1201_C05_001M","Separated!!Margin of Error!!Population 15 years and over"
"S1201_C06_001E","Never married!!Estimate!!Population 15 years and over"
"S1201_C06_001M","Never married!!Margin of Error!!Population 15 years and over"
"S1201_C01_002E","Total!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C01_002M","Total!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C02_002E","Now married (except separated)!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C02_002M","Now married (except separated)!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C03_002E","Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C03_002M","Widowed!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C04_002E","Divorced!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C04_002M","Divorced!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C05_002E","Separated!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C05_002M","Separated!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C06_002E","Never married!!Estimate!!AGE AND SEX!!Males 15 years and over"
"S1201_C06_002M","Never married!!Margin of Error!!AGE AND SEX!!Males 15 years and over"
"S1201_C01_003E","Total!!Estimate!!15 to 19 years"
"S1201_C01_003M","Total!!Margin of Error!!15 to 19 years"
"S1201_C02_003E","Now married (except separated)!!Estimate!!15 to 19 years"
"S1201_C02_003M","Now married (except separated)!!Margin of Error!!15 to 19 years"
"S1201_C03_003E","Widowed!!Estimate!!15 to 19 years"
"S1201_C03_003M","Widowed!!Margin of Error!!15 to 19 years"
"S1201_C04_003E","Divorced!!Estimate!!15 to 19 years"
"S1201_C04_003M","Divorced!!Margin of Error!!15 to 19 years"
"S1201_C05_003E","Separated!!Estimate!!15 to 19 years"
"S1201_C05_003M","Separated!!Margin of Error!!15 to 19 years"
"S1201_C06_003E","Never married!!Estimate!!15 to 19 years"
"S1201_C06_003M","Never married!!Margin of Error!!15 to 19 years"
"S1201_C01_004E","Total!!Estimate!!20 to 34 years"
"S1201_C01_004M","Total!!Margin of Error!!20 to 34 years"
"S1201_C02_004E","Now married (except separated)!!Estimate!!20 to 34 years"
"S1201_C02_004M","Now married (except separated)!!Margin of Error!!20 to 34 years"
"S1201_C03_004E","Widowed!!Estimate!!20 to 34 years"
"S1201_C03_004M","Widowed!!Margin of Error!!20 to 34 years"
"S1201_C04_004E","Divorced!!Estimate!!20 to 34 years"
"S1201_C04_004M","Divorced!!Margin of Error!!20 to 34 years"
"S1201_C05_004E","Separated!!Estimate!!20 to 34 years"
"S1201_C05_004M","Separated!!Margin of Error!!20 to 34 years"
"S1201_C06_004E","Never married!!Estimate!!20 to 34 years"
"S1201_C06_004M","Never married!!Margin of Error!!20 to 34 years"
"S1201_C01_005E","Total!!Estimate!!35 to 44 years"
"S1201_C01_005M","Total!!Margin of Error!!35 to 44 years"
"S1201_C02_005E","Now married (except separated)!!Estimate!!35 to 44 years"
"S1201_C02_005M","Now married (except separated)!!Margin of Error!!35 to 44 years"
"S1201_C03_005E","Widowed!!Estimate!!35 to 44 years"
"S1201_C03_005M","Widowed!!Margin of Error!!35 to 44 years"
"S1201_C04_005E","Divorced!!Estimate!!35 to 44 years"
"S1201_C04_005M","Divorced!!Margin of Error!!35 to 44 years"
"S1201_C05_005E","Separated!!Estimate!!35 to 44 years"
"S1201_C05_005M","Separated!!Margin of Error!!35 to 44 years"
"S1201_C06_005E","Never married!!Estimate!!35 to 44 years"
