"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household"
"DP02_0002M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household"
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years"
"DP02_0003M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years"
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0004M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years"
"DP02_0005M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years"
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0006M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
"DP02_0007M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
"DP02_0008E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0008M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0009E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0009M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0010E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0010M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0011E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
"DP02_0011M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
"DP02_0012E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0012M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0013E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0013M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0014E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0014M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0015E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0015M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0016E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0016M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0017E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0017M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0018E","Estimate!!RELATIONSHIP!!Population in households"
"DP02_0018M","Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0019E","Estimate!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0019M","Margin of Error!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0020E","Estimate!!RELATIONSHIP!!Population in households!!Spouse"
