"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP03_0001E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"DP03_0001M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over"
"DP03_0002E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"DP03_0002M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"DP03_0003E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"DP03_0003M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"DP03_0004E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"DP03_0004M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"DP03_0005E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"DP03_0005M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"DP03_0006E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"DP03_0006M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"DP03_0007E","Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"DP03_0007M","Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"DP03_0008E","Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"DP03_0008M","Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force"
"DP03_0009E","Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate"
"DP03_0009M","Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate"
"DP03_0010E","Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"DP03_0010M","Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over"
"DP03_0011E","Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force"
"DP03_0011M","Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force"
"DP03_0012E","Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force"
"DP03_0012M","Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force"
"DP03_0013E","Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed"
"DP03_0013M","Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed"
"DP03_0014E","Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years"
"DP03_0014M","Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years"
"DP03_0015E","Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force"
"DP03_0015M","Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force"
"DP03_0016E","Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years"
"DP03_0016M","Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years"
"DP03_0017E","Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force"
"DP03_0017M","Margin of Error!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force"
"DP03_0018E","Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"DP03_0018M","Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over"
"DP03_0019E","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
"DP03_0019M","Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
"DP03_0020E","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
"DP03_0020M","Margin of Error!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
